"CaseReferenceNumber"	"MotionID"	"CaseLocation"	"CaseMajorCode"	"CaseMinorCode"	"CaseTrialListType"	"CaseMarkingCode"	"CaseDispositionJudgeJurisNo"	"CaseDispositionDocketLegendCode"	"MotionResultCode"	"MotionFilingParty"	"MotionDocketLegendCode"	"MotionJurisNumber"	"MotionDocumentPriorityCode"	"CaseAttorneyJuris"	"CaseAttorneyType"	"MotionTimeDuration"	"MotionDocumentTypeName"	"SelfRepBeforeMotionFileCount"	"SelfRepBeforeMotionDecidedCount"	"SelfRepBeforeMotionFileBool"	"SelfRepBeforeMotionDecidedBool"
3635209	18780328	"HHD"	"V"	1	9	1	89999	"WDACT"	"GR"	"D"	"MSTRIKE"	434440	30	434440	"J"	73	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3631274	18780542	"FST"	"T"	90	1	3	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	434443	30	434443	"J"	329	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3641145	18781013	"FBT"	"T"	90	3	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	412184	30	412184	"R"	49	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3538150	18826666	"MMX"	"V"	4	9	NA	411103	"WDACT"	"GR"	"D"	"MSTRIKE"	402017	30	402017	"K"	143	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3261994	18784311	"HHD"	"T"	90	-1	1	89999	"WDACT"	"OR"	"P"	"MSTRIKE"	408307	30	408307	"J"	143	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3546067	18827773	"UWY"	"V"	1	-1	NA	422392	"JDGDACT"	"OR"	"D"	"MSTRIKE"	428420	30	428420	"J"	57	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3602661	18784794	"UWY"	"T"	90	9	1	411103	"WDACT"	"DN"	"P"	"MSTRIKE"	434448	30	434448	"J"	207	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3551661	18828565	"UWY"	"T"	28	9	4	411098	"WDACT"	"OR"	"P"	"MSTRIKE"	428420	30	428420	"J"	145	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3560001	18952175	"NNH"	"V"	1	1	14	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	415132	30	415132	"J"	50	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3636068	18788610	"FBT"	"T"	90	9	NA	435699	"JDGTVT"	"OR"	"D"	"MSTRIKE"	434442	30	434442	"J"	218	"MOTION TO STRIKE"	1	1	TRUE	TRUE
3275167	18957205	"NNH"	"T"	90	3	15	NA	"WDACT"	"DN"	"P"	"MSTRIKE"	435699	30	435699	"J"	141	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3560001	19014956	"NNH"	"V"	1	1	14	NA	"WDACT"	"GR"	"P"	"MSTRIKE"	415132	30	415132	"J"	49	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3509591	18835195	"FBT"	"T"	11	-1	NA	81185	"JDGACTD"	"GR"	"P"	"MSTRIKE"	421277	30	421277	"J"	12	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3619414	18839002	"UWY"	"V"	1	-1	15	422392	"JDGDACT"	"OF"	"P"	"MSTRIKE"	428420	30	428420	"J"	53	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3585603	18841209	"NNH"	"T"	90	-1	NA	80110	"JDGSTD"	"OF"	"D"	"MSTRIKE"	435699	30	435699	"J"	130	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3531486	18841270	"HHD"	"V"	6	-1	1	434447	"SJD"	"OR"	"D"	"MSTRIKE"	419022	30	419022	"K"	197	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3526954	18961145	"HHD"	"T"	50	-1	NA	427443	"SJD"	"DN"	"P"	"MSTRIKE"	419016	30	419016	"J"	75	"MOTION TO STRIKE"	1	1	TRUE	TRUE
3636712	18841649	"FBT"	"T"	90	-1	NA	NA	"TOUSDCT"	"OR"	"D"	"MSTRIKE"	412184	30	412184	"R"	75	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3644836	18841809	"HHB"	"T"	3	-1	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	408307	30	408307	"J"	137	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3643138	18843919	"FBT"	"V"	1	-1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	413629	30	413629	"J"	59	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3491957	18961635	"KNL"	"V"	1	1	2	NA	"WDACT"	"GR"	"P"	"MSTRIKE"	407898	30	407898	"K"	9	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3648862	19018759	"HHB"	"V"	1	9	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	428340	30	428340	"J"	49	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3642679	19018923	"FBT"	"V"	4	8	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	413629	30	413629	"J"	49	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3634877	18845986	"HHB"	"T"	90	3	NA	NA	"WDACT"	"OF"	"D"	"MSTRIKE"	428340	30	428340	"J"	45	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3623836	18847967	"FBT"	"T"	2	9	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	413629	30	413629	"J"	59	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3583464	19021997	"HHD"	"T"	61	9	1	89999	"WDACT"	"OF"	"D"	"MSTRIKE"	419016	30	419016	"J"	135	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3350292	18847378	"FBT"	"V"	4	9	NA	434442	"JDGTVTP"	"TP"	"D"	"MSTRIKE"	413629	30	413629	"J"	31	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3552575	19021293	"NNH"	"T"	3	-1	NA	NA	"WDACT"	"GR"	"P"	"MSTRIKE"	408383	30	408383	"J"	49	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3639811	19022214	"NNH"	"T"	11	-1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	408383	30	408383	"J"	357	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3609780	19022127	"HHD"	"T"	12	3	1	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	434440	30	434440	"J"	91	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3294516	18966189	"AAN"	"T"	12	9	15	403771	"JDGDACT"	"GR"	"D"	"MSTRIKE"	410631	30	410631	"J"	-89	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3645867	18906817	"HHD"	"T"	90	9	1	89999	"WDACT"	"GR"	"D"	"MSTRIKE"	434440	30	434440	"J"	257	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3610033	19025331	"NNH"	"T"	29	3	14	427442	"JDGACTD"	"OR"	"D"	"MSTRIKE"	415132	30	415132	"J"	48	"MOTION TO STRIKE"	1	1	TRUE	TRUE
3627813	18851650	"HHB"	"T"	3	9	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	428340	30	428340	"J"	120	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3641644	19027585	"NNH"	"V"	90	9	15	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	419014	30	419014	"J"	48	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3606513	18970790	"KNL"	"T"	90	9	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	433235	30	433235	"R"	176	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3627708	18972753	"HHD"	"T"	28	9	1	89999	"WDACT"	"DN"	"D"	"MSTRIKE"	419016	30	419016	"J"	53	"MOTION TO STRIKE"	0	0	FALSE	FALSE
