"CaseReferenceNumber"	"MotionID"	"CaseLocation"	"CaseMajorCode"	"CaseMinorCode"	"CaseTrialListType"	"CaseMarkingCode"	"CaseDispositionJudgeJurisNo"	"CaseDispositionDocketLegendCode"	"MotionResultCode"	"MotionFilingParty"	"MotionDocketLegendCode"	"MotionJurisNumber"	"MotionDocumentPriorityCode"	"CaseAttorneyJuris"	"CaseAttorneyType"	"MotionTimeDuration"	"MotionDocumentTypeName"	"SelfRepBeforeMotionFileCount"	"SelfRepBeforeMotionDecidedCount"	"SelfRepBeforeMotionFileBool"	"SelfRepBeforeMotionDecidedBool"
265653	1713566	"FST"	"T"	2	9	15	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	422677	30	422677	"J"	124	"MOTION TO STRIKE"	0	0	FALSE	FALSE
265653	1713569	"FST"	"T"	2	9	15	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	422677	30	422677	"J"	115	"MOTION TO STRIKE"	0	0	FALSE	FALSE
250179	1622646	"UWY"	"T"	71	-1	NA	419022	"JDGDACT"	"GR"	"D"	"MSTRIKE"	409666	30	409666	"J"	171	"MOTION TO STRIKE"	0	0	FALSE	FALSE
250179	1622650	"UWY"	"T"	71	-1	NA	419022	"JDGDACT"	"GR"	"D"	"MSTRIKE"	409666	30	409666	"J"	91	"MOTION TO STRIKE"	0	0	FALSE	FALSE
250209	1622825	"KNL"	"V"	1	3	2	80489	"JDGACT"	"DN"	"D"	"MSTRIKE"	80551	30	80551	"R"	25	"MOTION TO STRIKE"	0	0	FALSE	FALSE
250201	1622781	"NNH"	"T"	61	9	16	80095	"JDGHD"	"GR"	"P"	"MSTRIKE"	405699	30	405699	"K"	21	"MOTION TO STRIKE"	0	0	FALSE	FALSE
250059	1621864	"UWY"	"T"	2	9	15	411103	"WDACT"	"OD"	"D"	"MSTRIKE"	89996	30	89996	"X"	9	"MOTION TO STRIKE"	0	0	FALSE	FALSE
259473	1676870	"KNL"	"T"	40	9	17	419136	"JDGTVTP"	"OR"	"D"	"MSTRIKE"	419136	30	419136	"R"	294	"MOTION TO STRIKE"	0	0	FALSE	FALSE
146047	1012803	"UWY"	"V"	1	9	16	411103	"WDACT"	"GR"	"D"	"MSTRIKE"	420172	30	420172	"J"	249	"MOTION TO STRIKE"	0	0	FALSE	FALSE
259693	1678544	"WWM"	"V"	90	9	16	427016	"JDGDACT"	"GR"	"D"	"MSTRIKE"	403769	30	403769	"R"	198	"MOTION TO STRIKE"	0	0	FALSE	FALSE
259775	1679139	"NNH"	"T"	90	9	17	427442	"JDGTVTD"	"DN"	"D"	"MSTRIKE"	80209	30	80209	"R"	210	"MOTION TO STRIKE"	0	0	FALSE	FALSE
259663	1678377	"HHD"	"T"	20	1	NA	415593	"JDGDACT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	33	"MOTION TO STRIKE"	0	0	FALSE	FALSE
266417	1717430	"LLI"	"T"	3	9	1	411099	"WDACT"	"DN"	"P"	"MSTRIKE"	418028	30	418028	"R"	44	"MOTION TO STRIKE"	0	0	FALSE	FALSE
266231	1716613	"HHD"	"T"	90	-1	NA	NA	"WDACT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	69	"MOTION TO STRIKE"	0	0	FALSE	FALSE
259961	1680298	"AAN"	"T"	90	-1	NA	415602	"WDACT"	"GR"	"D"	"MSTRIKE"	401705	30	401705	"R"	122	"MOTION TO STRIKE"	0	0	FALSE	FALSE
260105	1681470	"FBT"	"T"	90	3	16	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	412184	30	412184	"R"	49	"MOTION TO STRIKE"	0	0	FALSE	FALSE
260593	1684043	"HHD"	"T"	90	-1	NA	NA	"WDACT"	"OD"	"P"	"MSTRIKE"	NA	30	NA	""	42	"MOTION TO STRIKE"	0	0	FALSE	FALSE
260659	1684528	"UWY"	"T"	12	1	NA	425580	"JWT"	"GR"	"D"	"MSTRIKE"	418027	30	418027	"J"	57	"MOTION TO STRIKE"	0	0	FALSE	FALSE
260659	1684535	"UWY"	"T"	12	1	NA	425580	"JWT"	"GR"	"D"	"MSTRIKE"	419131	30	419131	"J"	21	"MOTION TO STRIKE"	0	0	FALSE	FALSE
260889	1685763	"FST"	"T"	50	-1	NA	NA	"WDACT"	"TP"	"D"	"MSTRIKE"	427014	30	427014	"J"	20	"MOTION TO STRIKE"	1	1	TRUE	TRUE
260839	1685456	"FST"	"T"	2	9	15	NA	"WDACT"	"TP"	"D"	"MSTRIKE"	402358	30	402358	"R"	46	"MOTION TO STRIKE"	0	0	FALSE	FALSE
260889	1685784	"FST"	"T"	50	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	409106	30	409106	"R"	17	"MOTION TO STRIKE"	1	1	TRUE	TRUE
260633	1684395	"HHD"	"V"	4	9	13	NA	"WDACT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	58	"MOTION TO STRIKE"	0	0	FALSE	FALSE
276243	1779023	"HHD"	"T"	61	3	1	81181	"SJ"	"DN"	"D"	"MSTRIKE"	81181	30	81181	"R"	35	"MOTION TO STRIKE"	0	0	FALSE	FALSE
261135	1687102	"FST"	"V"	9	9	3	NA	"WDACT"	"GR"	"P"	"MSTRIKE"	409667	30	409667	"K"	99	"MOTION TO STRIKE"	0	0	FALSE	FALSE
261245	1687735	"UWY"	"V"	9	9	15	419014	"JDGDACT"	"DN"	"D"	"MSTRIKE"	89998	30	89998	"X"	370	"MOTION TO STRIKE"	0	0	FALSE	FALSE
260951	1686283	"NNH"	"V"	1	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	415132	30	415132	"J"	17	"MOTION TO STRIKE"	0	0	FALSE	FALSE
261445	1688842	"HHB"	"T"	11	9	16	411103	"WDACT"	"DN"	"P"	"MSTRIKE"	415596	30	415596	"R"	83	"MOTION TO STRIKE"	0	0	FALSE	FALSE
276261	1779186	"HHD"	"V"	1	9	1	NA	"WDACT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	43	"MOTION TO STRIKE"	0	0	FALSE	FALSE
261447	1688906	"FST"	"T"	28	1	3	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	409106	30	409106	"R"	416	"MOTION TO STRIKE"	0	0	FALSE	FALSE
261447	1688913	"FST"	"T"	28	1	3	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	409106	30	409106	"R"	391	"MOTION TO STRIKE"	0	0	FALSE	FALSE
261447	1688952	"FST"	"T"	28	1	3	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	420175	30	420175	"R"	76	"MOTION TO STRIKE"	0	0	FALSE	FALSE
261447	1688955	"FST"	"T"	28	1	3	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	420175	30	420175	"R"	67	"MOTION TO STRIKE"	0	0	FALSE	FALSE
276261	1779192	"HHD"	"V"	1	9	1	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	408307	30	408307	"J"	286	"MOTION TO STRIKE"	0	0	FALSE	FALSE
261529	1689467	"NNI"	"V"	1	-1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	408307	30	408307	"J"	164	"MOTION TO STRIKE"	0	0	FALSE	FALSE
267695	1724849	"HHD"	"T"	90	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	422683	30	422683	"J"	662	"MOTION TO STRIKE"	0	0	FALSE	FALSE
267463	1723564	"HHD"	"T"	2	9	18	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	419022	30	419022	"K"	63	"MOTION TO STRIKE"	0	0	FALSE	FALSE
267675	1724764	"HHD"	"T"	90	9	13	NA	"WDACT"	"GR"	"P"	"MSTRIKE"	422394	30	422394	"J"	24	"MOTION TO STRIKE"	0	0	FALSE	FALSE
276541	1780979	"FST"	"T"	90	-1	NA	NA	"WDACT"	"OF"	"D"	"MSTRIKE"	419135	30	419135	"J"	314	"MOTION TO STRIKE"	0	0	FALSE	FALSE
146257	1014133	"MMX"	"T"	90	3	14	402017	"JDGDACT"	"GR"	"D"	"MSTRIKE"	402017	30	402017	"K"	4	"MOTION TO STRIKE"	1	1	TRUE	TRUE
267663	1724664	"KNL"	"V"	1	3	14	80551	"JDGNST"	"DN"	"D"	"MSTRIKE"	80551	30	80551	"R"	18	"MOTION TO STRIKE"	0	0	FALSE	FALSE
277107	1784334	"FBT"	"T"	90	-1	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	416586	30	416586	"R"	25	"MOTION TO STRIKE"	0	0	FALSE	FALSE
268627	1730893	"WWM"	"T"	90	9	16	411098	"WDACT"	"GR"	"D"	"MSTRIKE"	422680	30	422680	"J"	124	"MOTION TO STRIKE"	0	0	FALSE	FALSE
268627	1730894	"WWM"	"T"	90	9	16	411098	"WDACT"	"GR"	"D"	"MSTRIKE"	422680	30	422680	"J"	124	"MOTION TO STRIKE"	0	0	FALSE	FALSE
262645	1695879	"NNH"	"T"	90	-1	NA	415132	"SJ"	"DN"	"P"	"MSTRIKE"	408552	30	408552	"R"	53	"MOTION TO STRIKE"	0	0	FALSE	FALSE
262647	1695907	"KNL"	"T"	29	-1	NA	80551	"JWT"	"GR"	"D"	"MSTRIKE"	80551	30	80551	"R"	18	"MOTION TO STRIKE"	1	1	TRUE	TRUE
268455	1729651	"UWY"	"V"	1	-1	NA	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	420172	30	420172	"J"	99	"MOTION TO STRIKE"	1	1	TRUE	TRUE
262637	1695818	"KNL"	"T"	90	1	NA	80551	"JDGDACT"	"GR"	"D"	"MSTRIKE"	80551	30	80551	"R"	22	"MOTION TO STRIKE"	1	1	TRUE	TRUE
146355	1014776	"NNH"	"V"	5	3	14	80460	"JDGHD"	"GR"	"P"	"MSTRIKE"	405699	30	405699	"K"	21	"MOTION TO STRIKE"	1	1	TRUE	TRUE
146831	1017787	"FBT"	"V"	1	8	16	418027	"JDGHD"	"GR"	"P"	"MSTRIKE"	80188	30	80188	"R"	29	"MOTION TO STRIKE"	0	0	FALSE	FALSE
146793	1017616	"KNL"	"V"	90	9	13	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	80541	30	80541	"J"	30	"MOTION TO STRIKE"	0	0	FALSE	FALSE
277539	1786623	"NNH"	"T"	90	-1	NA	419136	"SJ"	"OR"	"P"	"MSTRIKE"	412275	30	412275	"R"	-576	"MOTION TO STRIKE"	0	0	FALSE	FALSE
269067	1733775	"NNH"	"T"	2	1	NA	403965	"JODD"	"DN"	"D"	"MSTRIKE"	421277	30	421277	"J"	290	"MOTION TO STRIKE"	0	0	FALSE	FALSE
269067	1733777	"NNH"	"T"	2	1	NA	403965	"JODD"	"DN"	"D"	"MSTRIKE"	421277	30	421277	"J"	276	"MOTION TO STRIKE"	0	0	FALSE	FALSE
268939	1732836	"UWY"	"T"	2	1	15	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	419131	30	419131	"J"	202	"MOTION TO STRIKE"	0	0	FALSE	FALSE
268939	1732887	"UWY"	"T"	2	1	15	411103	"WDACT"	"GR"	"D"	"MSTRIKE"	415597	30	415597	"R"	117	"MOTION TO STRIKE"	0	0	FALSE	FALSE
268955	1733045	"UWY"	"T"	12	9	15	419014	"JDGDACT"	"OD"	"D"	"MSTRIKE"	89998	30	89998	"X"	18	"MOTION TO STRIKE"	0	0	FALSE	FALSE
263389	1700403	"UWY"	"V"	90	1	NA	423184	"JDGDACT"	"DN"	"D"	"MSTRIKE"	420172	30	420172	"J"	54	"MOTION TO STRIKE"	0	0	FALSE	FALSE
277539	1786610	"NNH"	"T"	90	-1	NA	419136	"SJ"	"DN"	"P"	"MSTRIKE"	415132	30	415132	"J"	37	"MOTION TO STRIKE"	0	0	FALSE	FALSE
269149	1734214	"HHD"	"T"	90	1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	422683	30	422683	"J"	51	"MOTION TO STRIKE"	0	0	FALSE	FALSE
277889	1788558	"HHD"	"T"	90	9	1	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	412190	30	412190	"R"	157	"MOTION TO STRIKE"	0	0	FALSE	FALSE
263519	1701220	"LLI"	"V"	1	9	1	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	418028	30	418028	"R"	89	"MOTION TO STRIKE"	0	0	FALSE	FALSE
263583	1701628	"HHB"	"T"	2	9	16	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	406507	30	406507	"R"	183	"MOTION TO STRIKE"	0	0	FALSE	FALSE
269193	1734508	"FST"	"T"	3	-1	NA	NA	"WDACT"	"OF"	"D"	"MSTRIKE"	402358	30	402358	"R"	301	"MOTION TO STRIKE"	0	0	FALSE	FALSE
277795	1787964	"MMX"	"T"	90	-1	NA	402017	"JWT"	"OR"	"D"	"MSTRIKE"	402017	30	402017	"K"	201	"MOTION TO STRIKE"	0	0	FALSE	FALSE
278353	1790988	"HHD"	"T"	90	8	1	422683	"SJ"	"GR"	"D"	"MSTRIKE"	415134	30	415134	"R"	28	"MOTION TO STRIKE"	0	0	FALSE	FALSE
278353	1791047	"HHD"	"T"	90	8	1	422683	"SJ"	"OR"	"D"	"MSTRIKE"	415134	30	415134	"R"	20	"MOTION TO STRIKE"	0	0	FALSE	FALSE
278235	1790480	"NNI"	"T"	28	-1	NA	402019	"JDGSTP"	"GR"	"D"	"MSTRIKE"	80343	30	80343	"R"	384	"MOTION TO STRIKE"	0	0	FALSE	FALSE
278207	1790352	"HHD"	"V"	1	9	13	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	408307	30	408307	"J"	70	"MOTION TO STRIKE"	0	0	FALSE	FALSE
269673	1737563	"FST"	"V"	90	-1	NA	NA	"WDACT"	"TP"	"D"	"MSTRIKE"	80626	30	80626	"R"	21	"MOTION TO STRIKE"	0	0	FALSE	FALSE
263869	1703122	"DBD"	"T"	90	-1	NA	89999	"WDACT"	"GR"	"D"	"MSTRIKE"	422679	30	422679	"J"	54	"MOTION TO STRIKE"	0	0	FALSE	FALSE
263869	1703119	"DBD"	"T"	90	-1	NA	89999	"WDACT"	"GR"	"D"	"MSTRIKE"	407901	30	407901	"K"	49	"MOTION TO STRIKE"	0	0	FALSE	FALSE
270209	1740650	"KNL"	"T"	11	-1	NA	411103	"WDACT"	"DN"	"P"	"MSTRIKE"	80551	30	80551	"R"	18	"MOTION TO STRIKE"	0	0	FALSE	FALSE
270209	1740651	"KNL"	"T"	11	-1	NA	411103	"WDACT"	"DN"	"P"	"MSTRIKE"	80551	30	80551	"R"	18	"MOTION TO STRIKE"	0	0	FALSE	FALSE
285215	1832503	"WWM"	"T"	90	9	16	411098	"WDACT"	"DN"	"D"	"MSTRIKE"	403769	30	403769	"R"	154	"MOTION TO STRIKE"	0	0	FALSE	FALSE
285215	1832507	"WWM"	"T"	90	9	16	411098	"WDACT"	"DN"	"D"	"MSTRIKE"	403769	30	403769	"R"	140	"MOTION TO STRIKE"	0	0	FALSE	FALSE
263993	1703935	"KNL"	"T"	11	9	16	411098	"WDACT"	"GR"	"D"	"MSTRIKE"	80551	30	80551	"R"	166	"MOTION TO STRIKE"	0	0	FALSE	FALSE
264167	1704940	"MMX"	"T"	90	9	14	411098	"WDACT"	"OD"	"D"	"MSTRIKE"	419016	30	419016	"J"	70	"MOTION TO STRIKE"	0	0	FALSE	FALSE
270601	1742714	"HHD"	"T"	12	-1	NA	NA	"WDACT"	"OR"	"P"	"MSTRIKE"	80465	30	80465	"R"	147	"MOTION TO STRIKE"	0	0	FALSE	FALSE
264035	1704167	"KNL"	"V"	1	9	13	411103	"WDACT"	"OR"	"D"	"MSTRIKE"	80551	30	80551	"R"	47	"MOTION TO STRIKE"	0	0	FALSE	FALSE
264073	1704394	"FBT"	"V"	1	9	16	412184	"JDGDACT"	"DN"	"D"	"MSTRIKE"	419018	30	419018	"R"	452	"MOTION TO STRIKE"	0	0	FALSE	FALSE
264667	1708082	"FST"	"T"	2	3	3	NA	"WDACT"	"TP"	"D"	"MSTRIKE"	416590	30	416590	"R"	39	"MOTION TO STRIKE"	0	0	FALSE	FALSE
264685	1708238	"FBT"	"T"	3	9	16	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	412184	30	412184	"R"	136	"MOTION TO STRIKE"	0	0	FALSE	FALSE
271237	1746527	"HHB"	"T"	90	9	16	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	415596	30	415596	"R"	184	"MOTION TO STRIKE"	0	0	FALSE	FALSE
279161	1796111	"HHD"	"T"	12	9	1	409859	"WDACT"	"OR"	"P"	"MSTRIKE"	409859	30	409859	"J"	175	"MOTION TO STRIKE"	0	0	FALSE	FALSE
285391	1833558	"FBT"	"T"	90	-1	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	413629	30	413629	"J"	84	"MOTION TO STRIKE"	0	0	FALSE	FALSE
279375	1797555	"UWY"	"V"	4	-1	17	418033	"JDGTVT"	"OD"	"D"	"MSTRIKE"	420172	30	420172	"J"	14	"MOTION TO STRIKE"	0	0	FALSE	FALSE
279375	1797558	"UWY"	"V"	4	-1	17	418033	"JDGTVT"	"OD"	"D"	"MSTRIKE"	420172	30	420172	"J"	11	"MOTION TO STRIKE"	0	0	FALSE	FALSE
279481	1798262	"FBT"	"T"	90	9	16	81185	"JDGNST"	"OR"	"D"	"MSTRIKE"	413629	30	413629	"J"	46	"MOTION TO STRIKE"	0	0	FALSE	FALSE
265293	1711668	"MMX"	"T"	90	9	15	411103	"WDACT"	"OR"	"D"	"MSTRIKE"	402017	30	402017	"K"	186	"MOTION TO STRIKE"	0	0	FALSE	FALSE
290711	1866119	"FBT"	"V"	1	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	412184	30	412184	"R"	48	"MOTION TO STRIKE"	0	0	FALSE	FALSE
290687	1866004	"FBT"	"V"	1	-1	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	413629	30	413629	"J"	59	"MOTION TO STRIKE"	0	0	FALSE	FALSE
271299	1747019	"HHD"	"V"	1	9	16	NA	"WDACT"	"DN"	"P"	"MSTRIKE"	406511	30	406511	"R"	25	"MOTION TO STRIKE"	0	0	FALSE	FALSE
280509	1804216	"KNL"	"V"	1	9	14	NA	"WDACT"	"GR"	"P"	"MSTRIKE"	80551	30	80551	"R"	407	"MOTION TO STRIKE"	0	0	FALSE	FALSE
280509	1804218	"KNL"	"V"	1	9	14	NA	"WDACT"	"GR"	"P"	"MSTRIKE"	80551	30	80551	"R"	28	"MOTION TO STRIKE"	0	0	FALSE	FALSE
271811	1750213	"FST"	"T"	2	9	15	NA	"WDACT"	"OF"	"D"	"MSTRIKE"	402358	30	402358	"R"	266	"MOTION TO STRIKE"	0	0	FALSE	FALSE
290799	1866630	"KNL"	"T"	90	8	2	81005	"JDGHD"	"GR"	"D"	"MSTRIKE"	80551	30	80551	"R"	28	"MOTION TO STRIKE"	1	1	TRUE	TRUE
280651	1805089	"HHB"	"T"	3	9	16	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	415596	30	415596	"R"	196	"MOTION TO STRIKE"	0	0	FALSE	FALSE
290981	1867982	"NNI"	"T"	3	9	16	NA	"WDACT"	"OD"	"D"	"MSTRIKE"	89996	30	89996	"X"	NA	"MOTION TO STRIKE"	0	0	FALSE	FALSE
271983	1751898	"HHD"	"T"	28	9	1	NA	"WDACT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	4	"MOTION TO STRIKE"	0	0	FALSE	FALSE
280657	1805126	"HHD"	"V"	1	9	13	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	81181	30	81181	"R"	103	"MOTION TO STRIKE"	0	0	FALSE	FALSE
291023	1868532	"HHD"	"T"	28	3	13	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	419016	30	419016	"J"	32	"MOTION TO STRIKE"	0	0	FALSE	FALSE
291023	1868533	"HHD"	"T"	28	3	13	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	419016	30	419016	"J"	32	"MOTION TO STRIKE"	0	0	FALSE	FALSE
291099	1869006	"HHD"	"V"	1	-1	NA	NA	"WDACT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	162	"MOTION TO STRIKE"	0	0	FALSE	FALSE
280843	1806417	"UWY"	"T"	28	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	416591	30	416591	"J"	10	"MOTION TO STRIKE"	0	0	FALSE	FALSE
290981	1867978	"NNI"	"T"	3	9	16	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	422678	30	422678	"J"	21	"MOTION TO STRIKE"	0	0	FALSE	FALSE
271977	1751832	"UWY"	"T"	90	9	15	419014	"JDGDACT"	"DN"	"D"	"MSTRIKE"	425580	30	425580	"R"	31	"MOTION TO STRIKE"	0	0	FALSE	FALSE
281421	1809559	"MMX"	"T"	90	9	14	411103	"WDACT"	"GR"	"D"	"MSTRIKE"	419016	30	419016	"J"	22	"MOTION TO STRIKE"	0	0	FALSE	FALSE
291333	1869877	"HHB"	"T"	40	-1	NA	NA	"WDACT"	"GR"	"P"	"MSTRIKE"	406507	30	406507	"R"	388	"MOTION TO STRIKE"	0	0	FALSE	FALSE
280947	1807275	"FBT"	"T"	2	-1	NA	416586	"JDGDACT"	"OR"	"D"	"MSTRIKE"	421277	30	421277	"J"	107	"MOTION TO STRIKE"	0	0	FALSE	FALSE
281087	1807926	"KNO"	"T"	28	-1	NA	80551	"JWT"	"GR"	"D"	"MSTRIKE"	80551	30	80551	"R"	40	"MOTION TO STRIKE"	0	0	FALSE	FALSE
281773	1811540	"HHB"	"T"	28	9	17	415134	"JDGTVT"	"GR"	"D"	"MSTRIKE"	406507	30	406507	"R"	88	"MOTION TO STRIKE"	0	0	FALSE	FALSE
281617	1810528	"FBT"	"V"	1	-1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	416586	30	416586	"R"	61	"MOTION TO STRIKE"	0	0	FALSE	FALSE
281917	1812424	"FBT"	"V"	1	9	16	416586	"JDGDACT"	"OR"	"D"	"MSTRIKE"	412184	30	412184	"R"	13	"MOTION TO STRIKE"	0	0	FALSE	FALSE
272497	1755618	"FBT"	"T"	2	9	16	416586	"JDGDACT"	"GR"	"D"	"MSTRIKE"	412184	30	412184	"R"	34	"MOTION TO STRIKE"	0	0	FALSE	FALSE
281979	1812672	"UWY"	"V"	1	-1	NA	423184	"JDGDACT"	"DN"	"D"	"MSTRIKE"	420172	30	420172	"J"	18	"MOTION TO STRIKE"	0	0	FALSE	FALSE
272667	1756827	"HHD"	"T"	2	-1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	81181	30	81181	"R"	54	"MOTION TO STRIKE"	0	0	FALSE	FALSE
291953	1873484	"HHD"	"T"	90	-1	NA	NA	"WDACT"	"OR"	"P"	"MSTRIKE"	422394	30	422394	"J"	54	"MOTION TO STRIKE"	0	0	FALSE	FALSE
291953	1873488	"HHD"	"T"	90	-1	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	422394	30	422394	"J"	33	"MOTION TO STRIKE"	0	0	FALSE	FALSE
292025	1873849	"UWY"	"T"	40	-1	NA	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	425580	30	425580	"R"	181	"MOTION TO STRIKE"	0	0	FALSE	FALSE
272655	1756706	"HHD"	"V"	1	9	1	NA	"WDACT"	"GR"	"P"	"MSTRIKE"	81290	30	81290	"R"	31	"MOTION TO STRIKE"	0	0	FALSE	FALSE
272655	1756721	"HHD"	"V"	1	9	1	NA	"WDACT"	"OR"	"P"	"MSTRIKE"	81290	30	81290	"R"	35	"MOTION TO STRIKE"	0	0	FALSE	FALSE
273107	1759283	"UWY"	"T"	90	1	NA	420169	"JDGNST"	"GR"	"D"	"MSTRIKE"	416591	30	416591	"J"	133	"MOTION TO STRIKE"	0	0	FALSE	FALSE
273107	1759290	"UWY"	"T"	90	1	NA	420169	"JDGNST"	"GR"	"D"	"MSTRIKE"	420169	30	420169	"J"	108	"MOTION TO STRIKE"	0	0	FALSE	FALSE
292773	1879309	"FST"	"T"	90	9	17	427014	"JDGTVTD"	"OR"	"D"	"MSTRIKE"	402358	30	402358	"R"	184	"MOTION TO STRIKE"	0	0	FALSE	FALSE
282399	1815079	"NNH"	"T"	12	9	16	412275	"SJ"	"DN"	"D"	"MSTRIKE"	408552	30	408552	"R"	19	"MOTION TO STRIKE"	0	0	FALSE	FALSE
293429	1883867	"FBT"	"V"	1	9	16	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	405701	30	405701	"R"	31	"MOTION TO STRIKE"	0	0	FALSE	FALSE
273771	1763931	"FBT"	"V"	1	3	16	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	412184	30	412184	"R"	22	"MOTION TO STRIKE"	0	0	FALSE	FALSE
273749	1763762	"HHD"	"T"	50	1	NA	89997	"JOD"	"OR"	"D"	"MSTRIKE"	406511	30	406511	"R"	241	"MOTION TO STRIKE"	0	0	FALSE	FALSE
282931	1818752	"FBT"	"V"	4	9	16	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	418027	30	418027	"J"	25	"MOTION TO STRIKE"	0	0	FALSE	FALSE
283135	1820702	"FBT"	"V"	1	9	16	416586	"JDGDACT"	"OR"	"D"	"MSTRIKE"	412184	30	412184	"R"	32	"MOTION TO STRIKE"	0	0	FALSE	FALSE
282745	1817416	"KNL"	"V"	1	9	14	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	80551	30	80551	"R"	155	"MOTION TO STRIKE"	0	0	FALSE	FALSE
282859	1818221	"WWM"	"T"	28	9	16	415602	"WDACT"	"DN"	"D"	"MSTRIKE"	403769	30	403769	"R"	155	"MOTION TO STRIKE"	0	0	FALSE	FALSE
273983	1765281	"FST"	"V"	90	-1	NA	NA	"WDACT"	"TP"	"D"	"MSTRIKE"	402358	30	402358	"R"	284	"MOTION TO STRIKE"	0	0	FALSE	FALSE
283521	1823061	"FBT"	"T"	90	-1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	412184	30	412184	"R"	19	"MOTION TO STRIKE"	0	0	FALSE	FALSE
283521	1823083	"FBT"	"T"	90	-1	NA	NA	"WDACT"	"OR"	"P"	"MSTRIKE"	412184	30	412184	"R"	302	"MOTION TO STRIKE"	0	0	FALSE	FALSE
274163	1766385	"HHD"	"T"	2	-1	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	81290	30	81290	"R"	54	"MOTION TO STRIKE"	0	0	FALSE	FALSE
293803	1885950	"HHD"	"T"	28	1	17	412190	"JDGTVTP"	"DN"	"D"	"MSTRIKE"	402024	30	402024	"R"	55	"MOTION TO STRIKE"	0	0	FALSE	FALSE
293717	1885201	"HHD"	"V"	1	9	13	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	81290	30	81290	"R"	88	"MOTION TO STRIKE"	0	0	FALSE	FALSE
293707	1885138	"NNH"	"T"	90	-1	NA	415132	"SJD"	"OR"	"D"	"MSTRIKE"	81378	30	81378	"R"	210	"MOTION TO STRIKE"	0	0	FALSE	FALSE
283521	1823077	"FBT"	"T"	90	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	413629	30	413629	"J"	185	"MOTION TO STRIKE"	0	0	FALSE	FALSE
293805	1886134	"HHD"	"T"	90	9	16	80591	"JDGACTD"	"OR"	"D"	"MSTRIKE"	412190	30	412190	"R"	47	"MOTION TO STRIKE"	0	0	FALSE	FALSE
283603	1823485	"HHD"	"V"	1	9	13	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	408382	30	408382	"J"	62	"MOTION TO STRIKE"	0	0	FALSE	FALSE
294237	1889449	"HHB"	"T"	70	3	16	427017	"JDGACT"	"DN"	"P"	"MSTRIKE"	406507	30	406507	"R"	640	"MOTION TO STRIKE"	1	1	TRUE	TRUE
